Applicant_ID,Current_position,Current_jd
255,Barista,"I have had experience as a barista for 3 years at Mama Art Cafe, a small, family owned, fair trade and organic award winning cafe. I have also taken it upon myself to learn basic latte art and introduced it at the venue without any guidance. I have great experience interacting with customers, and through often being alone to tend to customers, I learned to perform many tasks at once while maintaining calm and performing tasks efficiently and in good quality."
256,Cashier/Server,"*	Taking orders from the customers
*	Excellent communication and customer service skills
*	A welcoming personality
*	Handling the billing procedure
*	Keeping the record of the monetary transactions
*	Serving foods and drinks from the counter
*	Forwarding the Kitchen Order to the kitchen staff
*	Ensuring timely delivery of dishes
"
257,Host/Cashier/Door Person,"Greet all quest arriving, check id as needed. Offer suggestions on menu items. Act as security when needed. Seat guest at appropriate tables. Ring up items as needed."
259,Waitress,serving food and beverages
265,"Host, Server, Bartender","Host, Server, Bartender"
266,Assistant,"answering phones, billing, filling, running errands"
267,Waitress,"Welcoming guests, taking orders, serving food and beverage, making payments, cleaning tables."
271,Helper,"Organize orders, answer phone, make flowers"
274,Supervisor,"Server, take orders, money handling, food runner, inventory and stock, cook (panini, steak, salads...) maintain cleanliness of restaurant. "
279,Sales Associate,"Represent company, work cashier, handle clothing/stock, work dressing room, maintain store, deal with customers"
280,Server Server,"Employ five star service standards, set up for lunch or dinner seating, serve guests, memorize and relay hotel history and knowledge of restaurant menu items Serve in the hotel restaurant, pool, and banquets, adhere to high service standards, memorize all food and beverage menus, serve guests in a timely manner. "
282,Cashier,I sell food at cafeteria
285,Bookkeeper/Administrative Assistant Bookkeeper (part-time),"Unable to attach my resume (Invalid format). Process A/P&A/R and payroll in QuickBooks, including customer invoices/ vendors bills, resolving discrepancies, and handling petty cash. Liaise for CPA and office for tax payments. Assist will-call customers with orders/ payments and coordinate local deliveries. Translate docs/interpret at meetings/job interviews in Japanese/English/Spanish. Answer the phones, and greet/direct visitors to individuals. Handle shipping/receiving, and distribute mails. Managed A/P & A/R in Timeslips. Processed client invoices/vendor bills, resolved discrepancies, and reconciled bank accounts. Prepared legal forms for clients/opposing counsels/law agencies. Purchased legal docs for clients, and maintained law library."
287,Store Sales Associate Certified Sales Associate,"Sold and shipped advanced lighting equipment while operating the store front. Drove revenue in software, warranty, and consumer electronics sales.  Consistently exceeded personal and corporate quotas."
290,GCIC Terminal Operator,Enter fugitive warrants on parolees
297,Server,"cashier, took orders, made and served drinks (tea, milktea, smoothie) and food ( rice, beef stew, teriyaki chicken, bento box, fish balls, etc), cleaned up the work environment and dining space"
301,Bartender/Server Bartender,Bartender/Server Bartender
302,Bartender Server,"Prepped house made nectars & tonics, worked on a busy team of 2-4 bartenders a shift, made sure both the drinkers and diners were receiving excellent service at the bar. Provided excellent service while handling an eight table section, kept great communication with the host, bartender and kitchen to provide the best dining experience possible for each guest."
303,Line Cook,"Prepare Food to order, prep food for the line, maintain clean sanitized work area, opening and closing."
304,Registered Dental Assistant,"Currently in the Medical Field as a Dental Assistant. Works well in fast paced environment, maintains organization, follows work ethic when executing dental treatment, works well under pressure and maintains focus and patience."
306,Cook/Line Cook,"grill

line cook

pizza

"
307,Busboy,Served cildren their food and cleaned up their mess.
313,Server,"SERVER, CASHIER, CUSTOMER SERVICE, CLEANING DUTIES"
314,Technology Associate,"Help customers with equipment checkouts, maintain equipment"
315,Store Keeper Assistant,"*	Cleaning white board and white walls
*	Sorting and distributing mail
*	Operating a Pallet Jack
*	Carrying and delivering packages more than 50 pounds
*	Picking up trash
*	Breaking down and throwing away boxes
*	Working in a team
*	Stocking multiple printers and copiers"
316,INTERN,"Data entry, filing, sorting out papers, checking the quality of items and is it matching or not, receiving and opening mail for my co-workers. 
Calculate the bills received for the company.
"
317,Hostess,"Utilized customer service skills to greet guests and seat them to a table efficiently, planned seating charts, organized a wait list, answered telephone, booked reservations using OpenTable, opened and closed the restaurant, etc."
320,Truck Driver,I drove tow trucks
326,Java Developer,Develop graphical user interface and code for client and server side. Perform necessary code changes depending on the change request. Prepare Impact analysis document for the code changes done. Perform manual as well as automation testing to check the sanity of the application.
327,Temporary Worker,Carried out miscellaneous tasks for my manager 
330,Resident Advisor,"I advised, managed, assisted over 250 college freshman during the academic school year.  I also held events and programs for first year students in collaboration with on-campus organization and resources at San Jose State University. "
340,Caregiver,"Bathing
Grooming
Feeding
Cooking
Shopping
Bills
medication"
343,Waitress and Bartended,"- Greeting the customers upon arrival
- Serving them with their ordered drinks
- Assisting the bartender in preparing the orders
- Collecting the bill amounts from the customers as a part of table service
- Assisted with customer service and restaurant bookkeeping."
355,School Admin Barista/ Shift Supervisor,"Worked in the office putting files together, collected payments, watched children, created all school lists (allergy, roster etc.) Opened the store, handled money and the safe, made beverages, handled food, put orders away, placed co-workers were they were the most needed. "
361,Host/Cashier,"Disney is such a Big Company, but I worked on everything at Walt disney World Park and Resorts."
362,Team Member Team Member,"Serving Customers,Taking Orders,Managing the Till Serving Customers,Taking Orders,Managing the Till,Cleaning the Restaurant & Cooking Material"
365,Intern,"Created a filing system, organized documents, used office machines."
366,Volunteer/Barback,"helped behind friend's bar for a few days. Cleaned table/glasses, organized glasses, cut fruit, retrieved bottles, set up patrons."
370,Social Media and Research Intern Campus Day Leader,"*	Copywriting, editing, and publishing high quality content on the Chute blog
*	Managed several social media sites including general upkeep of LinkedIn, Twitter, Facebook, and Instagram; increased web presence exponentially with more followers and updated content
*	Researched and compiled marketing materials, statistics, and infographics
*	Part of the head team in charge of event logistics for November 5th 'Visual Revolution Summit' in NYC *	Facilitated positive experiences for prospective University of Michigan (U-M) students and their families as a presenter, panelist, and interactive tour guide
*	Gained strong public speaking skills"
373,Server,"Meeting customers, getting orders, completing requests"
378,"Cashier, Server","Provided prompt, efficient, friendly, and quality service at all times. Quickly removed debris accumulated by food to consistently maintain a clean service area. Maintained stock levels to prevent shortages of critical items."
384,Server,"Was greating customers, took orders, set the table, brought them beverages, dishes, collected money from customers for their order, swept the table"
391,Server,Started as a busier and work my way to a server.
394,Cook,Cooking and prerp the food
397,Student Aide,Walk around the school checking in with the after school counselors to see if they need any assistance.
401,Server & Florist,"Provide quality food and beverage service for catering and events. Assist with decorating, assembling floral, and setting up for events. Work back of the house in food prep & dishwashing"
404,Senior Supervisor,"Taking order, serve food and drink, make sure guest certisfild"
405,Event Advisor,Set up and manage themed birthdays and celebrations.
406,"Server, Bartender, Mixologist","Greeting customers, taking orders for food and drinks, preparing drinks, serving drinks and food."
408,Service Clerk Buser,"Ringing up customers
Cleaning areas
greating customers helping bartenders , foodruners and waiters
cleaning tables.
"
421,ESL Instructor,Teaching English to elementary school children in South Korea.
437,Guest Bartender,Made and served drinks in San Francisco's top nightclub.  Able to keep calm under pressure.  
441,Server,"Serving food, memorizing orders, light cleanup, handling multiple dishes"
448,Event Staff,"I work in an event staff team setting up, working and breaking down events. It is fast paced and physically demanding work environment in which I am efficient in getting the task at hand completed. I work within a team and am able to communicate get along with my fellow employees.  "
452,Bartender Bartender,"set up and break down the bar; maintain a fully stocked bar at all time; make drinks for clients during business hours; keep credit card tabs and monitor client's drinking consumption; remember long lists of drinks while speed bartend; stay in sync with the second bartender; stay professional and friendly at all time; twice a month bartend for private events as the only bartender for up to 150 people. set up and break down the bar; create daily drink specials, take food and drink orders; work wedding parties and private events; work closely with the servers and the kitchen to ensure top quality customer service."
453,Office Assistant,"I assisted with basic office tasks such as filing, setting appointments, and keeping the office clean. "
460,Student Assistant,"* Managing ITS office employee work clearance files and various types of bills, invoices, debit and credit memos from the University on-campus and its branch campuses including San Jose, Sacramento, Pleasanton, and Santa Rosa.
* Created new filing system for monthly vehicle inspections, gas receipts, and logbook for ITS vehicles  (6 cars total).
* Operating Pinnacle, a program used to manage the Universityâ€™s phone bills.
"
467,Package Handler Team Leader,"Sort packages according to location, stack cans to go on planes Sales Associate; provide customer service, cashier work, maintained and stocked counters

Barista; made drinks, maintained cleanliness of the store

Team Lead; handled banking and deposits every morning, looked after coworkers, maintained inventory, did stocking of product shipments
"
469,Dessert/ Prep Cook Inside Sales Associate,"I am currently working here as a dessert chef. My duties include learning what the residents like, and turning it into a dessert they can all enjoy. I have learned to be very creative and create presentations that make my desserts appealing.  I was in charge of calling future clientele and bringing them into the office. I also helped struggling homeowners resolve their financial issues by means of getting a loan modification or short selling their home. "
470,Teacher,I write and implement curriculum for an extended Kindergarten program.
471,Bartender,"upscale dinning service, weddings, private parties, mixology"
476,Writing Consultant,Provided one on one support for academic writing in all subjects; trained undergraduate Writing Center Tutors; organized and revised handouts used by Writing Consultants and Tutors.
477,Sales/Driver/Office Clerk,"Cold-called via door-to-door sales, and managed customer orders and accounts.
Ordered, organized, and distributed marketing materials. 
Trained and supervised new employees.
"
480,secratary,"answerin phones, filing paperwork"
484,Office Assistant Administrative Clerk,"I answered questions from prospective renters about available properties and rental applications.  I also handled maintenance requests, making sure that both property owners and tenants were getting prompt and attentive service. I signed up job seekers for employment tests with the US Census.  I also took many calls from angry residents and always addressed their questions and concerns in a friendly and professional manner.  This was a temporary position in a temporary office."
492,Deli Line Retail - Supervisor,"Responsible and supervise all staff in the store
Responsible for opening and closing of the store and cash registers
Serving fresh and quality food
Knowledgeable about all of the product within the store
"
493,Server/Customer Service,"multi-task, wait on customers, cocktail."
494,Bartender,Bartending duties
495,Warehouseman / Sales Associate,Helped out customers and pulling restock products in back room. Replenish Shelves.
496,Bartender,"Create events
Help with orders
Clean stock bar
Serve drinks"
501,learning advocate,Mentored at risk minors.  
507,"Cashier, Drive Thru Attendant, Food Prep, Dishwasher & Cook Server, Host, Cashier","I took customers orders with accuracy, tended to their drink orders. Gave them their food once it has been checked for the correct items. Prep in the kitchen, stock and fridge. Dishwashing and cleaning during the night. Greet and seat customers. Take and recommend food orders for the customers. Tend to their drinks and appetizers. Frequently check up on the customers for any needs or modification. Check for accuracy in their check and charge them. Along with that I had cleaning, dish washing and food prep responsibilities along with cleaning the dining area."
508,Server/Bartender,"Professionally served tables with a smile on my face, and made sure every order was 100% correct.  I also made cocktails and poured beer, with a lot of compliments."
510,Server,"Take orders, serve residents, and clean up dining room and kitchen after."
511,Crew,"Cashier/Order taker
Food Presenter
Kitchen grill/frying station
Stocking"
515,Interim Production Manager Asst. FOH Manager/Bartender,"Interim Production Manager (ZACH Theatre - Austin,TX)
Sept 2008 â€“ June 2009
â€¢	Casting, Hiring, and Contract negotiation for an AEA regional theatre
â€¢	Supported Artistic Director and artistic staffs to produce a 10 show season
â€¢	Oversaw all aspects of the production process from design to
implementation
â€¢	Produced detailed production schedules & led bi-weekly production meetings
â€¢	Oversaw facility, property and set rentals
â€¢	Handled purchasing and ordering for production materials
â€¢	Oversaw volunteer development and project execution
â€¢	Arranged travel/accommodations and facilitated needs for guest artists and actors
â€¢	Worked along side notable industry leaders to produce and workshop original works (i.e. Anna Deveare Smith, Leonard Foglia, Steven Dietz)
 Asst. FOH Manager/Bartender Aug 2005 â€“ July 2007
(Nellyâ€™s Mexican Cantina ï‚ž Texarkana, TX) 
â€¢	Assisted in hiring and development of FOH staff
â€¢	Implemented and prepared drink recipes
â€¢	Handled guest complaints through effective problem solving
â€¢	Assisted in marketing and booking of nightly entertainment 
"
518,Assistant to the Manager,"I helped orgaganize, file, and digitize paper work. I greeted guests as they walked into the office and I translated English to Spanish when necessary. "
519,server/cashier,"Served formal style, served buffets, set-up/break-down events, bussed"
520,Server,"Made pizzas, took orders, served orders, cashiering "
522,Server,"Started as a host, worked my way up as ToGo host, now a full time server. I wait on tables, bus my own tables, run food and also take care of payments."
534,Waitress/Bartender Waitress,Bartender & Waitress Waitress
537,Server Server/Server Trainer,"The chief responsibility of Servers at Olive Garden is to take orders and serve them to customers while ensuring that all the primary requirements of every customer are accommodated. Servers must make sure that all the operating standards of the restaurant when it comes to food handling and preparation are observed all throughout their shift. Servers are also expected to provide suggestions to customers when ordering their food or beverages and they must implement the one hundred percent customer service satisfaction. Apart from customer service, Servers handle their own transactions and must also be able to relay all food orders to the kitchen in a very efficient manner to make sure that every food order is processed accordingly. To provide excellent customer service to every patron encountered, pre-bus, cash handle, run food, take orders, serve alcohol, maintain store cleanliness. "
539,Lead Server,"Ensure that each person gets the best customer service I can provide, while helping all staff to be experts at anything they are required to do, as well as taking inventory for bar items. When there are any banquet events, setup/breakdown depending on time of the event. Open the restaurant on time and clean bar and restaurant area."
541,Server/Hostess Hostess,"Sat guest, took orders, ran food. Greeted/sat guest and ran food, checked ids."
543,Groggy's Food Truck,"As a Groggy's Team member I was a cashier where I handle all cash exchanges, took orders, and provided customer service. Also I was a food prep, where I would prep the orders to help speed up the process for the cook."
550,Sales Associate,"Provided customer service to customers, arranging go backs. Prepared the store for the week of Black Friday and Black Friday weekend. Cooperated with co-workers and managers, maintaining store cleanliness, and helped customers find what they were looking for."
554,Server,"Open and closed the restaurant when needed, trained new hires on POS and menu items, was courteous and polite to all guests, dealt with complaints in a professional manner, worked as a team to provide quality customer service to all guests, maintained order accuracy by repeating orders back to guests, supervised end of shift side work responsibilities of other co-workers, maintained professional apperance"
555,First Grade Teacher ,"Co-taught in a classroom consisting of 23 students.  Differentiated instruction in order to meet the needs of all learners.
Assessed student progress in a variety of ways; including performance based items, projects/experiments, and portfolios.  Utilized SMARTboard technology to implement engaging lessons.  Actively served on a variety of school committees and task forces focused on curriculum development, fundraising, and home-school communications."
558,Hostess/Server,"*	I greeted customers as they walked in the restaurant
*	I took food/beverage orders
*	I expedited and served food and drinks
*	I restocked supplies, set up the patio, and came in early to set up lunch on my own.
*	I answered most questions and ran the FOH during lunch
*	I used an Aloha POS system
*	Cash Handled
"
559,Waitress,Providing excellent customer service. Answering all questions pertaining food and drink menu. Taking down correct food and beverage orders. Delivering food and beverages to the correct table. Entering orders into POS or Aloha computer system. Creating guest connections to ensure that they return.
563,Server,"Serve food, drinks, bartend, run food, bus tables, and cocktail. "
565,customer service cashier,"returns and exchanges, cashier , dealing with customer concerns or complaints, sales floor associate. "
568,Accounts Receivable Specialist,"Responsible for the collection and billing of 200 business clients; and the preparation, review, processing and emailing of client's invoices. Perform Credit Application process for new customers.
"
581,marketing director assistant,Attended customers both in person and over the phone
582,Bead Weaving Teacher,I taught people how to make charms using various weaves and materials. I taught every other week and was paid by the amount of students.
584,Representative,"great people skill, strong charismatic, be able to communicate with customers, make appointments, make sales"
591,Sales Associate,"Cashier, sales, visions team, stockroom, stylist, customer service"
596,Server / Certified Trainer  Server,"*	Certified trainer: Responsible for training new hires on basic serving skills, menu knowledge, and cash management.
*	Server: Basic duties involve strong multitasking skills, a strong sense of urgency, being cohesive to a team environment. Responsible for managing banquet / large party menu orders and events, and ensuring guest satisfaction
 Use of suggestive selling/ up-selling techniques to improve sales averages.  Maintained a minimum P.P.A. Weekly training of wine/spirits/cocktails and fine dining etiquette. Presenting and pouring wine for guests. Handle buyout events of upwards of 50 people.  Assist in refilling and maintaining cleanliness standards. Ensuring all guests left with a smile!"
606,Server,"Take orders, use pos system, offer great customer service, assist in bussing tables,setting tables, and opening and closing restaurant. Assists in training new hires. Side work and fast paced working environment. "
610,.........,all type
613,"Server,  Waitress,Busser,Cashier","Served meals, Took orders, Cleaned tables, restocked drinks, cleaned, Cashier,etc"
615,Retail Sales / Alterations Associate,"* Proactively clarify and inform customers about menu and hemming procedures ! Provide honest opinions when asked while upholding the company's best interest
* Categorized pants into four sections to retain a minimum two-hour turnover time ! Arranged finished pants by date then transaction number for simple retrieval"
618,server,"Greeted customers as they arrive, Managed seating arrangements, Provided menus and take orders, Served food and beverages, Offered welcome drinks to customers, Took orders and deliver food, Ensured accuracy and speed of order, Assisted in the kitchen when needed, Cleaned and bussed tables as needed
"
620,server,"I helped manage/organized a group of 8  employees. Worked with customers to ensure we provided them their order correctly, as well as made fallow up calls to ensure we acomplished our goal of making their experience with us flawless.I took customers orders on the POP'S."
621,shite leader,take order  answer phone cashier make pizza cut pizza 
627,Sales Associate/Retail Ordering,"I would handle sales and face to face people interactions in the shop, as well as talking to people over the phone to answer questions and take reservations for fishing trips. I also did office work organizing files, responding to emails, checking stock, as well as ordering. "
631,Security Officer ,"I work at NYU Langone Medical Center as a Security Officer/Concierge to one of their off campus sites known as the Translational Research Building. Duties required are data entering, managing package deliveries, answering phone lines as well as provide the safety of life and property of residents in the facility."
645,Parking Lot Attendant ,"I walked around the parking lot walking, searching for misplaced shopping carts. I would put them back in there place.
I would also walk around cleaning my area as well."
651,server,"get orders and served


Customer Service"
652,statistical analyst and hr admin,"Maintaining all official and legal data.
Survey about market 
Active participant in client meetings.
Hr admin work follow up.
Manage official events.
Etc"
676,"Sales associate, cashier.","Greeting customers, taking job orders, handling cash, helping customers with deciding their choices when placing order, helping colleagues finish the tasks on time and maintain overall satisfactory customer service."
677,Waiter / bartender ,"Inform customers of daily specials and take food orders.Talk about the menu to patrons and answer all questions about menu items.Stock service areas with supplies such as coffee, food and utensils. Serve ordered items to customers, & Check with customers to ensure that they are enjoying their meals and take appropriate action to correct any complaints or requests.Prepare a bill that is itemized and includes the total meal costs and sales taxes. Mk earning to mix drinks in a timely fashion. Maximum drinks made in a minute.(9)  "
680,Hobby Shop Assistant Counter Server,Taught groups of children how to assemble models and other crafts projects Worked the register and prepared orders at a frozen yogurt store.
683,Waiter,waiter
691,mover,"moving furniture correctly in a proper manner.Also acted professional and make the clients feel comforable.
attach identifying tags to containers or mark them with identifying information.
sort cargo before loading and unloading.
install protective devices such as bracing,padding, or strapping, to prevent shifting or damage to items being transported"
699,Receptionist Waitress/Server,"*	Created and maintained financial reports, application reports, and administrative orders
*	Created new or revised existing methods by analyzing operating practices and procedures
*	Collected and coordinated the flow of internal and external information
*	Established the administrative work procedures for tracking daily tasks of the staff
 Took Orders and served the food to the customers.
Â·	Took take out orders and prepared it for pick up.
Â·	Served beers, liquor, and wine.
Â·	Served two to four tables at the same time during peak hours.
Â·	Replenish supplies during off peak hours, cleaned the countertops, and made sure the table had salt, pepper, ketchup, and sugar.
"
700,Server cashier,"Processing payment Greeting customers Cleaning tables and dining area Setting tables 
Receive payment by cash, check, credit cards, vouchers, or automatic debits.
Issue receipts, refunds, credits, or change due to customers.
Count money in cash drawers at the beginning of shifts to ensure that amounts are correct and that there is adequate change.
Greet customers entering establishments."
708,waitress/server,I worked there as a waitress.
719,chaplain,"Conduct funerals, cousenling, visitation"
728,Cashier ,"Cashier, restocking items, answering customers' questions, and helping customers find what they are looking for.
(Volunteer job)"
732,manager,"taking orders, accounting, stocking,taking phone call orders"
736,Deli ,"Made cold cuts & sandwiches, served food, swept and moped floors."
737,"cleaning,mopping the flore, damping of trash waxing and sweeping and strong work ethic ",answering customer question or inquires about merchandise and advice custormers on merchandise selection
753,busboy,"Assisted guests with making menu choices in an informative and helpful fashion.
Answered questions about menu selections and made recommendations when requested.
Delivered exceptional service by greeting and serving customers in a timely, friendly manner.
Cleaned desks after guests left and kept all material clean and tidy at all time"
758,Fountain  ,"My job responsibilities are to make delightful thick and not to watery milkshakes in a fast pace environment also provide great service while keeping a smile on my face. Afterwards making sure my station is restock and clean for my next fellow worker. 
"
768,Work-Study,"Manage the front desk;
Light cleaning"
772,Data Entry,Apply data to program everyday so company can keep track of money. Maintains customer confidence and protects operations by keeping information confidential.
773,sale associate,"Maintain and restock inventory.
â€¢ Provide customer service.
 
"
774,Cashier,"My responsibilities included, but were not limited to: working with a computerized cash register, returning appropriate change to customers, taking coupons, EBT cards, checks, and store credit cards, returning items, preparing items for deliveries, answering customer questions patiently and effectively, and answering telephones."
779,Busser,"Cashiering, Food Server, Bar Server, Delt w/Shipment, Cleaned both salesfloor and back, Stockroom Maintenance, Customer Service, Routine Bussing Duties"
780,Sales man,"Sold food, snacks, and drinks.
(It was a fun raiser)"
785,Painter,Painter
786,cleaner ,i clean the windows make sure the all doors are close and mop the floors.
788,crew member,"cashier, Kitchen, Drive thru instructor"
789,sales representative,selling cosmetics in a boutique inside the mall with great attitude and enthusiasm.
793,Assistant for Party Planner,"Watch over Children, Decorate for the Parties, and clean up "
801,Server,"                                                                                                                           Navendra laal    
                                                                                                                      12608 street 13   avenue S.O.P
                                                                                                                      Zip code 11420
                                                                                                                      Home: 347-233-2375
                                                                                                                      Tel: 347-476-5845
                                                                                                                       ajaylaal2012@yahoo.com
25/9/2013

Mr. / Mrs. Hiring manager
 momokawa
157 E 28th Street
  New York, NY, 10016

My name is Navendra Laal. Iâ€™m 17 year old, I was born on November 6 1995, Iâ€™m looking for a job,  one of my friends told me about momokawa.  I filled out the application online and waiting for a replied from the company. I have applied for the serving position. 
I am willing to enhance my skills, using my talent and ability. I want to prove to all of you that I can perform well and you will never regret that you hired me. I am positive-minded and believe in continuous learning and improvement. I also believe in getting out of my comfort zone and achieving the best in whatever I do. I should be hired because my qualifications and my work experience are perfectly suitable to this job. I am the right person for this job.  
You should hire me because I have the strength and ability for this job. 
I think you should hire me because if you give me this opportunity then I will take your organization to greater heights. I will do this through my innovative ideas, dedication and hard work.
Yours sincerely 
Navendra laal
"
805,Barista,Cashier and created hand crafted beverages
808,waiter,i used to be a teaches aid 
816,Fast food kitchen ,i was in charged of the kitchen but when the restaurant got busy i was put on the cashier because of my fast departure of customers
820,Logisitics,Outbound specialist 
825,cargo department,was a supervisor in the cargo department at this municipal air line   
841,Field Manager Cashier/Courtesy Clerk,"Manage a team of 3 to 8 individuals on daily canvassing collectives. Be efficient in fundraising money, for my company's clients, and display the utmost respect to the people in the community by displaying a positive image for the company. Handle money and written credit card transactions. Check out customers ideas my scanning price codes, memorizing produce codes, and carefully bagging customer merchandise, so that the stores checkout time is as quick as possible."
844,accountant assistant,"filing, copying, billing, sending checks, maintain records of invoices ,creditors' payments,data entry,"
851,volunteer , make sure the patient is very taken care and very safe. and also help moving around in a wheelchair.
864,Package Handler,"Quality Assurance, Sorting and placement of routes Unloading trailers. Scanning and sorting for distributing"
